start	end	text
0	6800	Okay, I'll update everything into the dashboard, remember that every time we adjust something
6800	16000	or we update something, I want you to also reflect the updates into the dashboard.
16000	21400	At the moment, when I see in the dashboard, you put the recipes a bit like confusion
21400	29000	and then when I click on the recipes tab, it gives us like 40 or 40 error.
29000	38680	So you should put like the recipes organized in the recipes tab and already show the cross
38680	47840	check between recipes, ingredients, quantity, expenses we don't about beverage and
47840	58200	food cost from the excel of the expenses compared to the items that we sold.
58200	65200	So you can say at the moment, you can actually find out that the moment would be the stock
65200	70200	of the items that we still have left that we should sell.
70200	75400	Show me this here and update it in the dashboard.
